"target_gene"	"experiment_id"	"cell_line"	"gene_silencing_series"
"SSRP1"	"ENCSR902WSK"	"K562"	"ENCSR096NLA"
"STAU1"	"ENCSR124KCF"	"HepG2"	"ENCSR198NSW"
"STAU1"	"ENCSR777EDL"	"K562"	"ENCSR177IMY"
"STIP1"	"ENCSR871BXO"	"HepG2"	"ENCSR491IUN"
"STIP1"	"ENCSR082UWF"	"K562"	"ENCSR575GJA"
"SUCLG1"	"ENCSR810JYX"	"HepG2"	"ENCSR439GMT"
"SUCLG1"	"ENCSR101OPF"	"K562"	"ENCSR341IXU"
"SUGP2"	"ENCSR837QDN"	"HepG2"	"ENCSR016FXK"
"SUGP2"	"ENCSR192BPV"	"K562"	"ENCSR615MJH"
"SUPV3L1"	"ENCSR995RPB"	"HepG2"	"ENCSR283KPR"
"SUPV3L1"	"ENCSR778SIU"	"K562"	"ENCSR835EXX"
"TAF15"	"ENCSR998RZI"	"HepG2"	"ENCSR717HRT"
"TAF15"	"ENCSR611ZAL"	"K562"	"ENCSR262UQP"
"TAF15"	"ENCSR031RZS"	"K562"	"ENCSR490IEW"
"TARDBP"	"ENCSR527QNC"	"HepG2"	"ENCSR627GST"
"TARDBP"	"ENCSR134JRE"	"K562"	"ENCSR630HSM"
"TARDBP"	"ENCSR455TNF"	"K562"	"ENCSR641QAZ"
"TBRG4"	"ENCSR741YCA"	"HepG2"	"ENCSR330RCO"
"TBRG4"	"ENCSR079IPT"	"K562"	"ENCSR645FAT"
"TIA1"	"ENCSR057GCF"	"HepG2"	"ENCSR817LLK"
"TIA1"	"ENCSR694LKY"	"K562"	"ENCSR425NUL"
"TIAL1"	"ENCSR450VQO"	"HepG2"	"ENCSR744QNE"
"TIAL1"	"ENCSR927TSP"	"K562"	"ENCSR101JTW"
"TRA2A"	"ENCSR030GZQ"	"HepG2"	"ENCSR336TUR"
"TRIM56"	"ENCSR309HXK"	"HepG2"	"ENCSR128QHC"
"TRIM56"	"ENCSR300QFQ"	"K562"	"ENCSR912QQL"
"TRIP6"	"ENCSR152IWT"	"K562"	"ENCSR468XCA"
"TROVE2"	"ENCSR946OFN"	"HepG2"	"ENCSR659HFE"
"TROVE2"	"ENCSR060KRD"	"K562"	"ENCSR383KLQ"
"TUFM"	"ENCSR459EMR"	"HepG2"	"ENCSR139HZN"
"TUFM"	"ENCSR602AWR"	"K562"	"ENCSR980RTI"
"U2AF1"	"ENCSR372UWV"	"HepG2"	"ENCSR054NQG"
"U2AF1"	"ENCSR342EDG"	"K562"	"ENCSR171NIH"
"U2AF2"	"ENCSR426UUG"	"HepG2"	"ENCSR914FDC"
"U2AF2"	"ENCSR904CJQ"	"K562"	"ENCSR276OYF"
"UCHL5"	"ENCSR684HTV"	"HepG2"	"ENCSR009SJR"
"UCHL5"	"ENCSR678MVE"	"K562"	"ENCSR759TWA"
"UTP18"	"ENCSR269ZAO"	"HepG2"	"ENCSR692NPV"
"UTP18"	"ENCSR165VBD"	"K562"	"ENCSR398PSO"
"UTP3"	"ENCSR910ECL"	"HepG2"	"ENCSR750ISF"
"UTP3"	"ENCSR473KFO"	"K562"	"ENCSR084HQG"
"WDR3"	"ENCSR902VPO"	"HepG2"	"ENCSR398UWJ"
"WDR3"	"ENCSR334BTA"	"K562"	"ENCSR850PEM"
"WDR43"	"ENCSR341PZW"	"K562"	"ENCSR064IQS"
"XPO1"	"ENCSR438UOT"	"HepG2"	"ENCSR807REK"
"XPO1"	"ENCSR629XTS"	"K562"	"ENCSR587VGW"
